yea,month,day,hour,minute,second
2024,9,14,10,10,0
2024,9,14,16,42,0
2024,9,14,21,27,0
2024,9,14,21,59,0
2024,9,14,22,28,0
2024,9,14,23,31,0
2024,9,15,0,11,0
2024,9,15,3,38,0
2024,9,15,4,18,0
2024,9,15,6,35,0
2024,9,15,9,19,0
2024,9,15,12,8,0
2024,9,15,12,55,0
2024,9,15,15,13,0
2024,9,15,18,24,0
2024,9,15,22,3,0
2024,9,15,23,43,0
2024,9,16,3,54,0
2024,9,16,4,49,0
2024,9,16,5,55,0
2024,9,16,6,31,0
2024,9,16,7,11,0
2024,9,16,9,29,0
2024,9,16,9,58,0
2024,9,16,10,36,0
2024,9,16,12,6,0
2024,9,16,12,53,0
2024,9,16,13,37,0
2024,9,16,14,34,0
2024,9,16,15,12,0
2024,9,16,16,20,0
2024,9,16,17,35,0
2024,9,16,18,45,0
2024,9,16,20,37,0
2024,9,16,22,3,0
2024,9,16,22,52,0
2024,9,16,23,29,0
2024,9,17,0,17,0
2024,9,17,0,57,0
2024,9,17,1,45,0
2024,9,17,2,28,0
2024,9,17,3,17,0
2024,9,17,4,58,0
2024,9,17,6,15,0
2024,9,17,7,34,0
2024,9,17,8,52,0
2024,9,17,10,12,0
2024,9,17,12,16,0
2024,9,17,13,6,0
2024,9,17,13,58,0
2024,9,17,14,40,0
2024,9,17,15,30,0
2024,9,17,16,17,0
2024,9,17,17,15,0
2024,9,17,18,6,0
2024,9,17,18,59,0
2024,9,17,21,20,0
2024,9,17,23,42,0
2024,9,18,1,18,0
2024,9,18,3,57,0
2024,9,18,5,1,0
2024,9,18,6,10,0
2024,9,18,7,16,0
2024,9,18,8,15,0
2024,9,18,8,51,0
2024,9,18,9,19,0
2024,9,18,10,56,0
2024,9,18,11,31,0
2024,9,18,12,21,0
2024,9,18,12,59,0
2024,9,18,13,33,0
2024,9,19,0,42,0
2024,9,19,8,7,0
2024,9,19,10,11,0
2024,9,19,11,0,0
2024,9,19,11,37,0
2024,9,19,12,51,0
2024,9,19,13,25,0
2024,9,19,14,23,0
2024,9,19,14,45,0
2024,9,19,15,13,0
2024,9,19,15,49,0
2024,9,19,17,16,0
2024,9,20,0,18,0
2024,9,20,1,36,0
2024,9,20,3,28,0
2024,9,20,4,32,0
2024,9,20,5,32,0
2024,9,20,6,55,0
