"Station","dec_lat","dec_lon","GMT.datetime","year","month","day","temp..degC.","salinity","DO..mg.L.","Avg.chl.a..ug.L.","NH4...uM.","PO4...uM.","NO3.NO2..uM.","NO3....uM.","NO2...uM.","Si.....uM.","c3.fluorometer","turbidity","X8.day.seascapes","monthly.seascapes","date","occ_datetime_str","occ_acantha","occ_centric","occ_ceratium","occ_chaetoceros","occ_chaetog","occ_chain2","occ_chain3","occ_chain4","occ_clado","occ_copepods","occ_decapod","occ_echino","occ_eucampia","occ_jellies","occ_larvae","occ_nocti","occ_polychaetes","occ_tricho"
"58",25.168,-81.65,"20221204_0600",2022,12,4,25.062,34.863,6.3577,0.563374386,0.96,0.06,0.58,0.4,0.18,6.05,NA,NA,"21",21,2022-12-04 06:00:00,"20221204_0600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"31",25.741,-81.94,"20221204_2200",2022,12,4,24.42,35.463,6.793,1.281897695,0.07,0.07,0.02,0.01,0.01,3.75,301.96,139.16,"21",21,2022-12-04 22:00:00,"20221204_2200",0,0,0,0,0,0,0,0,0,4,0,0,104,0,0,28,0,0
"33",25.907,-81.8,"20221205_0000",2022,12,5,23.977,35.031,6.6575,3.065075469,0.27,0.08,0.05,0.04,0.01,16.83,550,149.92,"21",21,2022-12-05 00:00:00,"20221205_0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"CAL5",26.182,-82.22,"20221205_0400",2022,12,5,24.056,35.687,6.593,0.932740187,0.81,0.08,0.1,0.07,0.03,3.41,259.12,144.76,"21",21,2022-12-05 04:00:00,"20221205_0400",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
"CAL4",26.253,-82.14,"20221205_0500",2022,12,5,23.871,35.519,6.188,1.784917711,0.34,0.11,0.06,0.04,0.02,12.85,437.2,145.52,"21",21,2022-12-05 05:00:00,"20221205_0500",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"CAL3",26.34,-82.05,"20221205_0600",2022,12,5,23.922,35.202,5.949,2.484733283,3.35,0.34,0.68,0.45,0.23,23.16,554.4,144.64,"21",21,2022-12-05 06:00:00,"20221205_0600",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0
"CAL2",26.383,-82,"20221205_0700",2022,12,5,23.88,35.057,6.28,2.98084719,0.43,0.19,0.21,0.13,0.08,20.97,593.6,154.56,"21",21,2022-12-05 07:00:00,"20221205_0700",0,23,0,0,0,0,0,0,0,17,0,0,0,0,0,4,0,0
"CAL1",26.414,-81.96,"20221205_0700",2022,12,5,23.35,33.962,6.585,4.149297528,0.47,0.33,0.23,0.12,0.11,22.76,610.4,152.68,"21",21,2022-12-05 07:00:00,"20221205_0700",0,23,0,0,0,0,0,0,0,17,0,0,0,0,0,4,0,0
"RP1",26.547,-82.22,"20221205_0900",2022,12,5,22.91,34.703,6.319,3.867891026,0.11,0.23,0.05,0.03,0.02,9.19,542,170.28,"21",21,2022-12-05 09:00:00,"20221205_0900",0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"RP2",26.553,-82.26,"20221205_1000",2022,12,5,23.277,35.143,5.708,3.179015648,0.31,0.24,0.19,0.12,0.07,7.54,612,165.76,"21",21,2022-12-05 10:00:00,"20221205_1000",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0
"RP3",26.551,-82.33,"20221205_1000",2022,12,5,23.219,35.396,5.843,1.705625257,0.5,0.22,0.11,0.08,0.03,5.98,480.4,164.48,"21",21,2022-12-05 10:00:00,"20221205_1000",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0
"RP4",26.578,-82.5,"20221205_1100",2022,12,5,23.436,35.72,6.317,0.805511593,0.1,0.09,0.02,0.02,0,2.6,279.04,174.4,"21",21,2022-12-05 11:00:00,"20221205_1100",0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0
"V1",27.111,-82.48,"20221205_2300",2022,12,5,22.985,35.429,5.945,2.772670929,0.04,0.12,0.04,0.01,0.03,3.07,598.4,159.68,"21",21,2022-12-05 23:00:00,"20221205_2300",0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,6,0,0
"V3",27.034,-82.61,"20221206_0000",2022,12,6,23.071,35.977,6.751,0.757493698,0.02,0.04,0,0,0,3.39,412.8,159.88,"21",21,2022-12-06 00:00:00,"20221206_0000",0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0
"V4",26.994,-82.68,"20221206_0100",2022,12,6,23.532,36.214,6.618,0.533461887,0.06,0.05,0,0,0,1.13,87.16,154.32,"15",15,2022-12-06 01:00:00,"20221206_0100",0,0,0,0,0,32,0,0,1,5,0,0,0,0,0,0,5,0
"V5",26.955,-82.75,"20221206_0100",2022,12,6,23.701,36.235,6.584,0.485217413,0.42,0.03,0,0,0,0.84,99.48,156,"15",15,2022-12-06 01:00:00,"20221206_0100",0,0,0,0,0,32,0,0,1,5,0,0,0,0,0,0,5,0
"V6",26.918,-82.82,"20221206_0200",2022,12,6,24.112,36.178,6.381,0.475790331,0.03,0.03,0,0,0,1.76,112.08,154.48,"15",15,2022-12-06 02:00:00,"20221206_0200",0,0,0,0,0,63,0,0,1,7,0,0,0,0,0,0,0,0
"V7",26.876,-82.89,"20221206_0300",2022,12,6,24.119,36.168,6.539,0.623850959,0.2,0.05,0,0,0,0.96,99.6,152.52,"15",15,2022-12-06 03:00:00,"20221206_0300",0,0,0,0,0,76,0,0,0,11,0,0,0,0,0,0,4,0
"V9",26.73,-83.1,"20221206_0500",2022,12,6,24.464,36.079,6.414,0.44640002,0.17,0.03,0,0,0,0.59,121.36,151.12,"11",11,2022-12-06 05:00:00,"20221206_0500",0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0
"AMI9",27.188,-83.5,"20221206_0900",2022,12,6,23.6,36.276,6.577,0.348802003,0.11,0.03,0,0,0,1.29,54.9,153.32,"3",15,2022-12-06 09:00:00,"20221206_0900",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMI8",27.228,-83.41,"20221206_1000",2022,12,6,23.264,36.313,6.458,0.352683742,0.23,0.03,0.01,0,0.01,1.21,47.4,156.56,"3",15,2022-12-06 10:00:00,"20221206_1000",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"AMI7",27.265,-83.32,"20221206_1100",2022,12,6,23.124,36.441,5.834,0.320520759,0.08,0.03,0,0,0,1.01,49.44,156.28,"3",15,2022-12-06 11:00:00,"20221206_1100",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMI6",27.305,-83.22,"20221206_1200",2022,12,6,23.906,36.244,5.908,0.323847964,0.05,0.02,0,0,0,1.08,64.9,156.36,"15",15,2022-12-06 12:00:00,"20221206_1200",0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"AMI5",27.343,-83.13,"20221206_1300",2022,12,6,23.449,36.354,5.941,0.330502375,0.09,0.02,0,0,0,0.63,65.5,155.36,"15",15,2022-12-06 13:00:00,"20221206_1300",0,0,1,1,0,6,0,0,0,0,0,0,2,0,0,0,0,0
"AMI4",27.382,-83.04,"20221206_1400",2022,12,6,23.532,36.278,6.635,0.633832574,0.29,0.01,0,0,0,0.82,66.68,154.16,"15",15,2022-12-06 14:00:00,"20221206_1400",0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"AMI3",27.421,-82.94,"20221206_1400",2022,12,6,23.356,36.196,6.476,5.720020126,0.02,0.06,0,0,0,7.93,600.8,163.44,"21",21,2022-12-06 14:00:00,"20221206_1400",0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"TB3",27.674,-83,"20221206_2100",2022,12,6,22.622,36.056,6.66,2.10778444,0.13,0.05,0.36,0.36,0,3.14,94.12,165.32,"21",21,2022-12-06 21:00:00,"20221206_2100",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"TB4",27.617,-83.13,"20221206_2200",2022,12,6,23.531,36.3,6.89,6.56845743,0.13,0.02,0,0,0,0.54,NA,NA,"15",7,2022-12-06 22:00:00,"20221206_2200",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TB5",27.617,-83.3,"20221206_2300",2022,12,6,22.938,36.369,6.482,4.766775861,0.39,0.03,0,0,0,0.77,56.2,160.16,"15",15,2022-12-06 23:00:00,"20221206_2300",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TB10",27.616,-83.49,"20221207_0100",2022,12,7,24.738,36.153,6.445,3.621662767,0.2,0.03,0.01,0.01,0,1.07,59.68,161.68,"15",15,2022-12-07 01:00:00,"20221207_0100",0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
