cruise_id,site,station,date_time,date,time_gmt,flowmeter_in,flowmeter_out,flowmeter_diff,ship_speed_knots,inpeller_constant,split_size,notes,tow_time_min,net_size,net_area,distance_m,tow_speed_m_sec,volume_filt_cubic_m,total_split_amount,total_split_frac,scientificName,pipette_vol_m_l,dillution,dillution_factor,split_amount,splits_analyzed,individualCount,aliquot_1,aliquot_2,aliquot_3,mean,ind_m3,number_ind_sample,duplicate_mesh_col,scientificname,rank,valid_name,kingdom,phylum,class,order,family,genus
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Acartia,5,1000,200,2,0.25,1,0,1,0,0.333333333,1.119417577,533.3333333,200,Acartia,Genus,Acartia,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Calocalanus,5,1000,200,2,0.25,13,4,5,4,4.333333333,14.5524285,6933.333333,200,Calocalanus,Genus,Calocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Clausocalanus,5,1000,200,2,0.25,11,2,8,1,3.666666667,12.31359335,5866.666667,200,Clausocalanus,Genus,Clausocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Clytemnestra,5,1000,200,2,0.25,2,0,1,1,0.666666667,2.238835154,1066.666667,200,Clytemnestra,Genus,Clytemnestra,Animalia,Arthropoda,Copepoda,Harpacticoida,Peltidiidae,Clytemnestra
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Copepoda,5,1000,200,2,0.25,80,36,19,25,26.66666667,89.55340616,42666.66667,200,Copepoda,Class,Copepoda,Animalia,Arthropoda,Copepoda,,,
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Copilia mirabilis,5,1000,200,2,0.25,1,0,1,0,0.333333333,1.119417577,533.3333333,200,Copilia mirabilis,Species,Copilia mirabilis,Animalia,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Copilia
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Corycaeus,5,1000,200,2,0.25,21,6,5,10,7,23.50776912,11200,200,Corycaeus,Genus,Corycaeus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Corycaeus
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Farranula,5,1000,200,2,0.25,5,3,0,2,1.666666667,5.597087885,2666.666667,200,Farranula,Genus,Farranula,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Farranula
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Foraminifera,5,1000,200,2,0.25,337,120,116,101,112.3333333,377.2437234,179733.3333,200,Foraminifera,Phylum,Foraminifera,Chromista,Foraminifera,,,,
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Appendicularia,5,1000,200,2,0.25,2,2,0,0,0.666666667,2.238835154,1066.666667,200,,,,,,,,,
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Macrosetella,5,1000,200,2,0.25,1,0,1,0,0.333333333,1.119417577,533.3333333,200,Macrosetella,Genus,Macrosetella,Animalia,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Macrosetella
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Microsetella,5,1000,200,2,0.25,8,3,1,4,2.666666667,8.955340616,4266.666667,200,Microsetella,Genus,Microsetella,Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Microsetella
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Oithona,5,1000,200,2,0.25,27,9,9,9,9,30.22427458,14400,200,Oithona,Genus,Oithona,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Oncaea,5,1000,200,2,0.25,9,3,3,3,3,10.07475819,4800,200,Oncaea,Genus,Oncaea,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Oncaea
WS17170,LK,Looe Key (deep),2017-06-20T15:33:00Z,2017-06-20T00:00:00Z,15:33:00,9907,19811,9904,1.5,0.245,0.5,,5,0.5,0.196349541,2426.48,8.088266667,476.4382339,8,0.125,Ostracoda,5,1000,200,2,0.25,13,12,1,0,4.333333333,14.5524285,6933.333333,200,Ostracoda,Class,Ostracoda,Animalia,Arthropoda,Ostracoda,,,
