rownumber,cruise_id,station_name,station,line_id,date_time,*collection_date,collection_time,decimalLongitude,decimalLatitude,size_frac_um,split_size,tow_time_min,flowmeter_in,flowmeter_out,flowmeter_diff,inpeller_constant,distance_m,net_size,net_area,tow_speed,filt_volume,conc_volume,notes,processed,process_date
1,WS15208,Molasses Reef,MR,,2015-07-27T22:00:00Z,7/27/15,22:00:00,-80.38,25.01,200,0.5,7.6,0,959.5,959.5,0.245,235.1,0.5,0.20,0.52,46.2,,,,
2,WS15208,Molasses Reef,MR,,2015-07-27T22:00:00Z,7/27/15,22:00:00,-80.38,25.01,500,0.5,7.6,0,959.5,959.5,0.245,235.1,0.5,0.20,0.52,46.2,,,,
3,WS15208,Molasses Reef,MR,,2015-07-27T22:11:00Z,7/27/15,22:11:00,-80.38,25.01,64,0.25,5.5,0,270.5,270.5,0.245,66.3,0.6,0.28,0.20,18.7,,,,
4,WS15208,Western Sambo,WS,,2015-07-28T00:07:00Z,7/28/15,0:07:00,-81.717,24.478,64,0.25,5.5,20000,20806.3,806.3,0.245,197.5,0.6,0.28,0.60,55.9,,,,
5,WS15208,Looe Key (deep),LK,,2015-07-28T19:23:00Z,7/28/15,19:23:00,-81.413,24.538,200,0.5,6.4,0,1004.3,1004.3,0.245,246.1,0.5,0.20,0.64,48.3,,,,
6,WS15208,Looe Key (deep),LK,,2015-07-28T19:23:00Z,7/28/15,19:23:00,-81.413,24.538,500,0.5,6.4,0,1004.3,1004.3,0.245,246.1,0.5,0.20,0.64,48.3,,,,
7,WS15208,Looe Key (deep),LK,,2015-07-28T19:52:00Z,7/28/15,19:52:00,-81.413,24.538,64,0.25,4.6,0,449.3,449.3,0.245,110.1,0.6,0.28,0.40,31.1,,Lost 5% of sample during washdown,,
8,WS15208,Western Sambo,WS,,2015-07-28T23:57:00Z,7/28/15,23:57:00,-81.717,24.478,200,0.5,6.0,4.7,100,95.3,0.245,23.3,0.5,0.20,0.06,4.6,,Issue with flowmeter here - had trouble resetting properly,,
9,WS15208,Western Sambo,WS,,2015-07-28T23:57:00Z,7/28/15,23:57:00,-81.717,24.478,500,0.5,6.0,4.7,100,95.3,0.245,23.3,0.5,0.20,0.06,4.6,,Issue with flowmeter here - had trouble resetting properly,,
10,WS15264,Molasses Reef,MR,,2015-09-21T09:43:00Z,9/21/15,9:43:00,-80.38,25.01,64,0.25,4.1,42839.3,42999.9,160.6,0.245,39.3,0.6,0.28,0.16,11.1,,,,
11,WS15264,Molasses Reef,MR,,2015-09-21T09:50:00Z,9/21/15,9:50:00,-80.38,25.01,200,0.5,4.8,1001,2001,1000,0.245,245.0,0.5,0.20,0.85,48.1,,,,
12,WS15264,Molasses Reef,MR,,2015-09-21T09:50:00Z,9/21/15,9:50:00,-80.38,25.01,500,0.5,4.8,1001,2001,1000,0.245,245.0,0.5,0.20,0.85,48.1,,,,
13,WS15264,Looe Key (deep),LK,,2015-09-22T12:15:00Z,9/22/15,12:15:00,-81.413,24.538,200,0.5,6.2,1.8,152.5,150.7,0.245,36.9,0.5,0.20,0.10,7.2,,,,
14,WS15264,Looe Key (deep),LK,,2015-09-22T12:15:00Z,9/22/15,12:15:00,-81.413,24.538,500,0.5,6.2,1.8,152.5,150.7,0.245,36.9,0.5,0.20,0.10,7.2,,,,
15,WS15264,Looe Key (deep),LK,,2015-09-22T12:25:00Z,9/22/15,12:25:00,-81.413,24.538,64,0.25,5.7,3.9,563.4,559.5,0.245,137.1,0.6,0.28,0.40,38.8,,,,
16,WS15264,Western Sambo,WS,,2015-09-22T15:33:00Z,9/22/15,15:33:00,-81.717,24.478,200,0.5,5.9,152.6,212.8,60.2,0.245,14.7,0.5,0.20,0.04,2.9,,,,
17,WS15264,Western Sambo,WS,,2015-09-22T15:33:00Z,9/22/15,15:33:00,-81.717,24.478,500,0.5,5.9,152.6,212.8,60.2,0.245,14.7,0.5,0.20,0.04,2.9,,,,
18,WS15264,Western Sambo,WS,,2015-09-22T15:45:00Z,9/22/15,15:45:00,-81.717,24.478,64,0.25,4.5,563.4,1098,534.6,0.245,131.0,0.6,0.28,0.49,37.0,,,,
19,WS15320,Molasses Reef,MR,,2015-11-16T21:45:00Z,11/16/15,21:45:00,-80.38,25.01,200,0.5,5.0,0,200.9,200.9,0.245,49.2,0.5,0.20,0.16,9.7,,,,
20,WS15320,Molasses Reef,MR,,2015-11-16T21:45:00Z,11/16/15,21:45:00,-80.38,25.01,500,0.5,5.0,0,200.9,200.9,0.245,49.2,0.5,0.20,0.16,9.7,,,,
21,WS15320,Molasses Reef,MR,,2015-11-16T21:55:00Z,11/16/15,21:55:00,-80.38,25.01,64,0.25,5.0,0,481.4,481.4,0.245,117.9,0.6,0.28,0.39,33.3,,,,
