20m_isobath,50m_isobath,200m_isobath
2,30,9.5
7,AMI4,BG9
9,AMI5,BG10
10,AMI6,BG11
12,AMI7,BG12
16,AMI8,BG13
18,AMI9,BG13B
31,BG6,BG14
33,BG7,BG15
41,BG7B,BG15B
45,BG8,BG16
47,CAL6,BG17
49,CW5,BG17B
51,CW6,BG18
53,CW7,BG20
54,GP5,BG20B
55,L5,PLUME
56,L7,
57,L9,
57.1,TB10,
57.2,TB4,
57.3,TB5,
58,V5,
60,V6,
64,V7,
65,V8,
68,V9,
21/LK,AC4,
AMI1,AC5,
AMI2,AC6,
AMI3,HB6,
BG1,,
BG2,,
BG3,,
BG4,,
CAL1,,
CAL2,,
CAL3,,
CAL4,,
CAL5,,
CW1,,
CW2,,
CW3,,
CW4,,
KW1,,
KW2,,
KW4,,
L1,,
L3,,
MR,,
ROME4,,
ROME5,,
RP1,,
RP2,,
RP3,,
RP4,,
TB1,,
TB2,,
TB3,,
V1,,
V2,,
V3,,
V4,,
WS,,
AC1,,
AC2,,
AC3,,
HB1,,
HB2,,
HB3,,
HB4,,
HB5,,
